"Timestamp,Region_State,Soil_Type,Soil_PH,Nitrogen_N,Phosphorus_P,Potassium_K,Soil_Moisture_Percent,Soil_Temperature_C,Dryness_Status,Hydrogel_Water_Release_Trigger"
"2026-01-01 00:00:00,Uttar Pradesh,Laterite,5.11,22.06,37.65,82.87,17.99,27.9,Moderate_Dry,0"
"2026-01-01 01:00:00,Gujarat,Alluvial,6.27,118.42,60.24,95.0,38.78,20.82,Normal,0"
"2026-01-01 02:00:00,Karnataka,Laterite,7.58,125.58,75.77,39.27,18.19,32.97,Moderate_Dry,0"
"2026-01-01 03:00:00,Gujarat,Laterite,5.56,122.86,55.58,116.46,32.38,22.22,Normal,0"
"2026-01-01 04:00:00,Gujarat,Laterite,4.52,65.01,38.94,80.34,22.21,34.1,Moderate_Dry,0"
"2026-01-01 05:00:00,Punjab,Alluvial,7.17,75.44,49.72,15.59,25.48,41.21,Normal,0"
"2026-01-01 06:00:00,Karnataka,Alluvial,8.39,21.49,48.04,58.64,15.82,24.15,Moderate_Dry,0"
"2026-01-01 07:00:00,Karnataka,Arid,6.93,67.93,50.94,60.87,32.03,21.41,Normal,0"
"2026-01-01 08:00:00,Karnataka,Black,4.98,75.25,20.28,99.96,16.36,18.58,Moderate_Dry,0"
"2026-01-01 09:00:00,Gujarat,Black,5.78,128.84,58.9,47.04,25.97,27.09,Normal,0"
"2026-01-01 10:00:00,Uttar Pradesh,Arid,7.97,127.28,20.15,49.78,20.15,23.15,Moderate_Dry,0"
"2026-01-01 11:00:00,Karnataka,Arid,5.43,135.93,11.02,22.4,43.65,29.8,Normal,0"
"2026-01-01 12:00:00,Tamil Nadu,Laterite,6.93,126.21,53.73,44.77,44.34,30.58,Normal,0"
"2026-01-01 13:00:00,Gujarat,Arid,6.11,20.98,18.18,90.28,35.88,26.38,Normal,0"
"2026-01-01 14:00:00,Punjab,Red,5.33,96.98,63.93,81.65,44.4,36.0,Normal,0"
"2026-01-01 15:00:00,Uttar Pradesh,Black,7.75,28.19,70.62,23.55,12.2,39.72,Critical_Dry,1"
"2026-01-01 16:00:00,Tamil Nadu,Arid,7.47,52.71,76.13,27.04,44.72,23.08,Normal,0"
"2026-01-01 17:00:00,Tamil Nadu,Red,7.15,89.4,56.51,54.58,11.83,38.07,Critical_Dry,1"
"2026-01-01 18:00:00,Punjab,Red,5.45,104.07,43.74,93.09,23.37,21.15,Normal,0"
"2026-01-01 19:00:00,Uttar Pradesh,Red,4.89,98.56,34.66,102.46,16.84,23.49,Moderate_Dry,0"
"2026-01-01 20:00:00,Gujarat,Red,6.8,25.89,44.36,16.54,43.29,31.47,Normal,0"
"2026-01-01 21:00:00,Maharashtra,Laterite,6.71,32.43,23.32,49.55,31.52,25.36,Normal,0"
"2026-01-01 22:00:00,Uttar Pradesh,Red,5.25,35.43,34.39,59.55,30.09,19.0,Normal,0"
"2026-01-01 23:00:00,Punjab,Laterite,4.72,30.97,60.26,110.67,44.91,25.08,Normal,0"
"2026-01-02 00:00:00,Tamil Nadu,Laterite,4.82,41.39,25.22,67.65,30.66,39.72,Normal,0"
"2026-01-02 01:00:00,Gujarat,Red,8.47,102.62,28.48,43.32,31.91,22.18,Normal,0"
